Solution,Produit,Segment,Theme,Question,Réponse,Source
Kadéos,Kadéos Zénith,Utilisateur,conditions-utilisation,Comment utiliser votre carte cadeaux Kadeos Zénith/Culture ?,"En magasin : présentez votre carte Kadéos Zénith ou Culture au commerçant, donnez le montant à prélever sur votre carte et passez votre carte dans le lecteur. Si le montant de votre achat est supérieur au solde disponible sur votre carte, vous pouvez compléter votre paiement par tout autre moyen accepté par le commerçant.  

Sur Internet : votre carte est valable sur tous les sites Internet partenaires. Pour cela, choisissez Mastercard comme moyen de paiement et suivez les instructions de votre site. Attention, vous ne pouvez pas réaliser de complément de paiement sur Internet : le montant de votre achat doit être inférieur ou égal au montant disponible sur votre carte. Sinon, votre paiement vous sera refusé.  

Sur la Boutique Kadéos : Créez votre compte sur votre espace personnel MyEdenred ou sur www.myedenred.fr et allez dans « Où utiliser ma carte ». Cliquez dans Boutique Kadeos et payez avec la carte Kadéos Zénith ou Culture. Attention, vous ne pouvez pas réaliser de complément de paiement sur la Boutique Kadéos : le montant de votre achat doit être inférieur ou égal au montant disponible sur votre carte. Sinon, votre paiement vous sera refusé.",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/conditions-utilisation?ref=ka51i000000PKmKAAW
Kadéos,Kadéos Zénith,Utilisateur,conditions-utilisation,La carte Kadéos Zénith est-elle valable à l’étranger ?,"Non, elle est valable seulement en France dans le réseau affilié. ",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/conditions-utilisation?ref=ka51i000000PKfDAAW
Kadéos,Kadéos Zénith,Utilisateur,conditions-utilisation,Mon achat en ligne a été refusé que dois-je faire?,"Il est maintenant obligatoire de renseigner un numéro de téléphone portable dans votre espace bénéficiaire pour tout achat sur un site marchand. Effectivement, au moment de la transaction, le commerçant peut être amené à valider votre achat en vous demandant un code 3Dsecure. Ce code vous sera communiqué par SMS sur votre téléphone portable. Pour cela, rendez vous sur le site ou l'application MyEdenred et renseignez votre numéro de téléphone portable. Si vous rencontrez des difficultés, contactez le service bénéficiaire au 01 78 91 74 10 (prix d'un appel local).",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/conditions-utilisation?ref=ka51i000000PKelAAG
Kadéos,Kadéos Zénith,Utilisateur,conditions-utilisation,Puis-je utiliser ma carte cadeau pour retirer de l’argent ?,"Non, vous ne pouvez pas retirer de l’argent dans les Distributeurs Automatiques de Billets. Pour plus d’informations rendez-vous sur votre application MyEdenred ou sur www.myedenred.fr.",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/conditions-utilisation?ref=ka51i000000PKcnAAG
Kadéos,Kadéos Zénith,Utilisateur,conditions-utilisation,Puis-je acheter sur Internet ?,"Oui, les chèques et cartes cadeaux Kadéos sont acceptés sur les sites marchands affiliés. Les chèques cadeaux doivent être envoyés par courrier, et les cartes fonctionnent comme une carte bancaire (n° de carte, date de validité, numéro CVC2 au dos de la carte).",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/conditions-utilisation?ref=ka51i000000PKciAAG
Kadéos,Kadéos Zénith,Utilisateur,conditions-utilisation,Puis-je utiliser ma carte en plusieurs fois ?,"Vous pouvez vous servir de votre carte Kadéos autant de fois que vous le souhaitez, jusqu’à ce que vous ayez dépensé la totalité de la somme disponible sur votre carte.",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/conditions-utilisation?ref=ka51i000000PKcJAAW
Kadéos,Kadéos Zénith,Utilisateur,conditions-utilisation,Comment connaître le solde de ma carte ?,"Vous pouvez consulter votre solde 24h/24 7j/7 directement depuis votre application MyEdenred (ou sur myedenred.fr). 
Vous visualisez ainsi votre solde en temps réel directement sur la page d'accueil de l'application.",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/conditions-utilisation?ref=ka51i000000PKc4AAG
Kadéos,Kadéos Zénith,Utilisateur,caracteristiques-utilisation-carte,Quelles sont les caractéristiques de la carte Kadéos Zénith/Culture ?,"C’est une carte à piste, nominative, valable 12 mois. Elle vous permet de payer au centime d’euro près dans les établissements partenaires.",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/caracteristiques-utilisation-carte?ref=ka51i000000PKmJAAW
Kadéos,Kadéos Zénith,Utilisateur,caracteristiques-utilisation-carte,"J’ai oublié mon code PIN, comment le récupérer ?","Connectez-vous à l'application MyEdenred (ou sur myedenred.fr) , et cliquez sur ""Afficher mon code PIN"" dans l'onglet Carte, puis suivez les étapes :
Saisissez votre mot de passe MyEdenred pour confirmer votre identité (votre email de connexion est déjà pré-renseigné).
Saisissez ensuite le code de sécurité à 3 chiffres (CVC) situé au verso de votre carte.
Quatre cadenas apparaissent, les chiffres de votre code PIN vont remplacer les cadenas un par un. Vous n'avez plus qu'à les mémoriser !
Par sécurité, vous recevez également un email vous informant que votre code PIN a été consulté.
Vous avez oublié votre mot de passe MyEdenred ? Déconnectez-vous de MyEdenred, cliquez sur « Me connecter » puis sur ""Vous n’arrivez pas à vous connecter ?"" et laissez-vous guider.",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/caracteristiques-utilisation-carte?ref=ka51i000000PKcZAAW
Kadéos,Kadéos Zénith,Utilisateur,reseau-acceptation,"Est-ce que les titres cadeaux sont utilisables en province, quelle que soit ma région ?","Le réseau d'acceptation des chèques et cartes cadeaux est très étendu sur tout le territoire national. Pour connaitre la liste exhaustive des points d'acceptation, rendez-vous ICI.",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/reseau-acceptation?ref=ka51i000000PKlUAAW
Kadéos,Kadéos Zénith,Utilisateur,reseau-acceptation,Où utiliser la carte cadeau Kadéos Zenith/Culture ?,"Votre carte cadeau est acceptée en magasin et sur Internet dans la liste des enseignes partenaires. Pour connaitre la liste exhaustive des points d'acceptation, rendez-vous sur notre site.
Vous pouvez également l’utiliser sur la Boutique en ligne Kadéos parmi 1 million d'offres.",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/reseau-acceptation?ref=ka51i000000PKlKAAW
Kadéos,Kadéos Zénith,Utilisateur,validite-millesime,Quelle est la durée de validité d'une carte Kadéos ?,"Les cartes Kadéos sont valables 12 mois jusqu’à la date d'expiration indiquée au recto de la carte. Au-delà, elles ne peuvent plus être utilisées et leur durée de de validité ne peut pas être prolongée. ",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/validite-millesime?ref=ka51i000000PKl0AAG
Kadéos,Kadéos Zénith,Utilisateur,premiere-utilisation,Que faire si vous n’avez pas reçu le code d’activation ?,"Si vous n’avez pas reçu l’email indiquant votre code d’activation, contactez le Centre de Relation Clients au 01.78.91.74.10 (prix d’un appel local). ",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/premiere-utilisation?ref=ka51i000000PKePAAW
Kadéos,Kadéos Zénith,Utilisateur,premiere-utilisation,Puis-je compléter le règlement de mes achats par un autre moyen de paiement ?,"Oui, dans la limite des moyens de paiement acceptés par le commerçant. En revanche, vous ne pouvez pas faire de complément de paiement sur Internet ou la Boutique Kadéos",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/premiere-utilisation?ref=ka51i000000PKeKAAW
Kadéos,Kadéos Zénith,Utilisateur,premiere-utilisation,Comment activer ma carte Kadéos Zenith/Culture ?,"Pour activer votre carte, vous avez besoin d’un code d’activation que vous avez reçu par email. Vous pourrez ensuite vous connecter au site www.myedenred.fr pour activer votre carte ou contacter le 01.78.91.74.10 (prix d’un appel local). Votre Offreur a peut être activé pour vous votre carte, dans ce cas, vous ne recevrez pas de mail!",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/premiere-utilisation?ref=ka51i000000XhRlAAK
